KnowledgeId,SourcePoC,SourceType,Title,BusinessArea,UseCaseId,RecommendedApproach,RAGSuitable,BISuitable,AutomationSuitable,RuleBasedCheckSuitable,HumanReviewRequired,DeepDiveRequired,UseCaseDescription,InputData,Process,Output,DiscussionPoint,Keywords,SourceFile
P2-USECASE-UC011,PoC2,UseCaseMapping,Rule-based Check Candidate Use Case Identification,AI DX Planning,UC-011,Rule-based Check,False,True,True,True,False,False,明確な条件や判定ルールに基づいてチェックできる業務をルールベースチェック候補として抽出する業務。,業務ルール|判定条件|入力データ,条件分岐や閾値で判断できる項目を確認し、ルール化できるかを整理する。,Rule-based Check候補一覧|判定条件案|必要データ,明確なルールがある場合はチェック自動化に向くが、ルール自体の妥当性は人間確認が必要。,rule-based check|ルールベース|判定条件|閾値|品質チェック|UC-011,poc2_knowledge_samples.csv
P2-USECASE-UC012,PoC2,UseCaseMapping,Human Review Required Use Case Identification,AI DX Planning,UC-012,Human Review,False,False,False,False,True,False,設計判断、施工判断、法規判断、安全判断、契約判断などを含み、人間レビューが必須となる業務を抽出する業務。,業務内容|判断種別|関係者情報,業務に専門判断や責任判断が含まれるかを確認し、HumanReviewRequiredを設定する。,HumanReviewRequired一覧|注意事項|協議ポイント,人間レビューが必要な業務では、AIは候補提示や整理に限定し、最終判断は関係者が行う。,human review|人間レビュー|設計判断|施工判断|法規判断|安全判断|契約判断|UC-012,poc2_knowledge_samples.csv
P2-USECASE-UC013,PoC2,UseCaseMapping,Deep Dive Required Use Case Identification,AI DX Planning,UC-013,Deep Dive Required,False,False,False,False,True,True,入力情報、判断条件、業務範囲が曖昧で、AI/DX活用方針を決める前に追加確認が必要な業務を抽出する。,業務内容|入力情報|出力情報|判断条件,業務範囲や判断条件の曖昧さを確認し、追加ヒアリングが必要かを整理する。,DeepDiveRequired一覧|追加確認事項|ヒアリング観点,DeepDiveRequired=Trueの場合は、すぐにRAG、BI、自動化へ確定分類せず、追加確認を優先する。,deep dive|深掘り|追加確認|ヒアリング|判断条件|業務範囲|UC-013,poc2_knowledge_samples.csv
P2-USECASE-UC014,PoC2,UseCaseMapping,DX Service Candidate Discussion Reference,AI DX Planning,UC-014,Discussion Reference + Human Review,False,True,False,False,True,True,分類結果をもとに、DXサービス候補や導入テーマを協議するための参考情報を整理する業務。,UseCase分類結果|RecommendedApproach|優先候補メモ,分類結果から協議対象を整理し、関係者が検討しやすい形で候補をまとめる。,協議用レポート|候補一覧|確認ポイント,DXサービス候補は提案材料であり、導入判断、費用判断、契約判断は人間レビューが必要。,DX service|DXサービス|discussion|協議|候補|導入判断|human review|UC-014,poc2_knowledge_samples.csv
P2-USECASE-UC015,PoC2,UseCaseMapping,Construction AI Discussion Report Generation,AI DX Planning,UC-015,Report Generation + Human Review,True,True,True,True,True,False,BIM・建設業務ユースケース分類の結果を、関係者協議用レポートとして整理する業務。,分類結果CSV|UseCase一覧|RecommendedApproach|HumanReviewRequired,分類結果を集計し、RAG候補、BI候補、自動化候補、深掘り対象を整理する。,協議用レポート|サマリー|参照元一覧,レポート生成は自動化支援できるが、内容の採用判断や提案判断は人間レビューが必要。,report|レポート|summary|サマリー|discussion|RAG|BI|automation|UC-015,poc2_knowledge_samples.csv
P2-RULE-CR001,PoC2,ClassificationRule,RAG Support Classification Rule,AI DX Classification,,RAG Support,True,False,False,False,False,False,過去資料、ルール、Fix Guide、FAQ、ナレッジを参照して回答する業務はRAG Support候補として分類する。,業務説明|参照資料|ナレッジ有無,ナレッジ参照が中心かどうかを確認し、RAG適性を判定する。,RAG Support分類,検索対象ナレッジの品質や更新ルールが不明な場合は追加確認が必要になる。,classification rule|分類ルール|RAG Support|ナレッジ参照|FAQ|Fix Guide,poc2_knowledge_samples.csv
P2-RULE-CR002,PoC2,ClassificationRule,BI Dashboard Classification Rule,AI DX Classification,,BI / Dashboard,False,True,False,False,False,False,件数、スコア、割合、進捗、分類結果などの定量情報を扱う業務はBIまたはDashboard候補として分類する。,数値データ|件数|割合|スコア|進捗,可視化や集計に向くかを確認し、BI適性を判定する。,BI / Dashboard分類,KPI定義や業務上の意味づけは人間レビューが必要。,classification rule|分類ルール|BI|Dashboard|KPI|集計|可視化,poc2_knowledge_samples.csv
P2-RULE-CR003,PoC2,ClassificationRule,Automation Support Classification Rule,AI DX Classification,,Automation Support + Human Review,False,False,True,True,True,True,入力、処理、出力が明確で、繰り返し発生する業務は自動化支援候補として分類する。,業務手順|入力|処理|出力|頻度,定型化できるか、人間判断が必要かを確認し、自動化適性を判定する。,Automation Support分類,自動化候補であっても、重要判断を含む場合はHumanReviewRequired=Trueとする。,classification rule|分類ルール|automation|自動化|定型作業|human review,poc2_knowledge_samples.csv
P2-RULE-CR004,PoC2,ClassificationRule,Human Review Classification Rule,AI DX Classification,,Human Review,False,False,False,False,True,False,設計判断、施工判断、法規判断、安全判断、契約判断を含む業務はHuman Review必須として分類する。,業務内容|判断種別|責任範囲,専門判断や責任判断が含まれるかを確認する。,Human Review分類,AIは最終判断を行わず、候補提示や整理に限定する。,classification rule|分類ルール|human review|設計判断|施工判断|法規判断|安全判断|契約判断,poc2_knowledge_samples.csv
P2-RULE-CR005,PoC2,ClassificationRule,Deep Dive Classification Rule,AI DX Classification,,Deep Dive Required,False,False,False,False,True,True,入力情報、出力情報、判断条件、業務範囲が曖昧な業務はDeep Dive Requiredとして分類する。,業務内容|入力情報|出力情報|判断条件,業務分解や追加ヒアリングが必要かを確認する。,Deep Dive Required分類,曖昧な業務はすぐにAI/DX方針を確定せず、追加確認を優先する。,classification rule|分類ルール|deep dive|深掘り|追加確認|ヒアリング,poc2_knowledge_samples.csv
P2-POL-H001,PoC2,HumanReviewPolicy,Human Review Policy for Construction AI Use Cases,AI DX Policy,,Human Review,False,False,False,False,True,False,BIM・建設業務ユースケースにおいて、AIが最終判断しないためのHuman Review方針。,RecommendedApproach|HumanReviewRequired|DeepDiveRequired,AI/DX分類結果にHuman Review方針を反映し、回答や協議資料で注意書きを示す。,Human Review方針|注意書き|判断境界,建設業務では専門判断や責任判断が含まれるため、AIは判断支援に限定する。,human review policy|人間レビュー|AI DX|最終判断しない|建設業務,poc2_knowledge_samples.csv
P2-SUM-W001,PoC2,WorkflowSummary,PoC 2 Use Case Mapping Workflow Summary,AI DX Planning,,Workflow Summary,True,True,True,True,True,False,PoC 2は、BIM・建設業務ユースケースをAI/DX活用パターンに分類し、協議用レポートを生成するPoCである。,UseCase一覧|分類ルール|RecommendedApproach,業務ユースケースをRAG、BI、自動化、ルールベースチェック、人間レビュー、深掘り対象に分類する。,UseCase Mapping結果|DX候補|協議用レポート,PoC 2の成果物はPoC 3で検索対象ナレッジとして再利用する。,PoC2|Use Case Mapping|RecommendedApproach|RAG|BI|automation|Human Review|Deep Dive,poc2_knowledge_samples.csv
