QuestionId,Question,QuestionType,Rank,DocumentId,SourcePoC,SourceType,Title,MatchedKeywords,Score,RuleId,UseCaseId,RecommendedApproach,HumanReviewRequired,DeepDiveRequired,SourceFile,ExpectedSourcePoC,ExpectedSourceType,ExpectedRuleId,ExpectedUseCaseId,ExpectedFocus
Q004,Room Name Missing Rule は何を意味しますか,PoC1 Rule Question,2,P1-RULE-D003,PoC1,RuleMaster,Door Room Relation Missing Rule,room|name|missing|rule|roomname|ai|readiness,29,D-003,,,True,True,poc1_knowledge_samples.csv,PoC1,RuleMaster,R-101,,RoomName不足の意味と検索対象ナレッジへの影響
Q004,Room Name Missing Rule は何を意味しますか,PoC1 Rule Question,3,P1-RES-Q002,PoC1,QualityCheckResult,Sample Room Quality Check Result,room|name|missing|rule|roomname|101|ai|readiness,27,R-101,,,True,False,poc1_knowledge_samples.csv,PoC1,RuleMaster,R-101,,RoomName不足の意味と検索対象ナレッジへの影響
Q005,Room Numberが不足している場合はAI活用にどんな影響がありますか,PoC1 Rule Question,1,P1-RULE-R102,PoC1,RuleMaster,Room Number Missing Rule,room|roomnumber|102|identifier|ai|context,31,R-102,,,True,False,poc1_knowledge_samples.csv,PoC1,RuleMaster,R-102,,RoomNumber不足と部屋識別への影響
Q005,Room Numberが不足している場合はAI活用にどんな影響がありますか,PoC1 Rule Question,2,P1-RULE-D003,PoC1,RuleMaster,Door Room Relation Missing Rule,room|roomnumber|ai|context,22,D-003,,,True,True,poc1_knowledge_samples.csv,PoC1,RuleMaster,R-102,,RoomNumber不足と部屋識別への影響
Q005,Room Numberが不足している場合はAI活用にどんな影響がありますか,PoC1 Rule Question,3,P1-FIX-F002,PoC1,FixGuide,Room Information Fix Guide,room|roomnumber|102|ai,22,R-101,,,True,False,poc1_knowledge_samples.csv,PoC1,RuleMaster,R-102,,RoomNumber不足と部屋識別への影響
Q006,Room Area Missing Rule では何を確認すべきですか,PoC1 Rule Question,1,P1-RULE-R103,PoC1,RuleMaster,Room Area Missing Rule,room|area|missing|rule|103|boundary|bi,46,R-103,,,True,True,poc1_knowledge_samples.csv,PoC1,RuleMaster,R-103,,Room面積不足時の確認ポイント
Q006,Room Area Missing Rule では何を確認すべきですか,PoC1 Rule Question,2,P2-USECASE-UC005,PoC2,UseCaseMapping,Room Information Review Use Case,room|area|rule|bi|deep|dive,31,,UC-005,RAG Support + Human Review,True,True,poc2_knowledge_samples.csv,PoC1,RuleMaster,R-103,,Room面積不足時の確認ポイント
Q006,Room Area Missing Rule では何を確認すべきですか,PoC1 Rule Question,3,P1-RULE-D003,PoC1,RuleMaster,Door Room Relation Missing Rule,room|missing|rule|bi|deep|dive,21,D-003,,,True,True,poc1_knowledge_samples.csv,PoC1,RuleMaster,R-103,,Room面積不足時の確認ポイント
Q007,Door Name Missing のFix Guideでは何を確認しますか,PoC1 Fix Guide Question,1,P1-FIX-F001,PoC1,FixGuide,Door Name Missing Fix Guide,door|name|missing|fix|guide|001|elementid|uniqueid,44,D-001,,,True,False,poc1_knowledge_samples.csv,PoC1,FixGuide,D-001,,Door Name不足時の修正方針と確認ポイント
Q007,Door Name Missing のFix Guideでは何を確認しますか,PoC1 Fix Guide Question,2,P1-RES-Q001,PoC1,QualityCheckResult,Sample Door Quality Check Result,door|name|missing|fix|guide|001|elementid|uniqueid,34,D-001,,,True,False,poc1_knowledge_samples.csv,PoC1,FixGuide,D-001,,Door Name不足時の修正方針と確認ポイント
Q007,Door Name Missing のFix Guideでは何を確認しますか,PoC1 Fix Guide Question,3,P1-RULE-D001,PoC1,RuleMaster,Door Name Missing Rule,door|name|missing|fix|guide|001,33,D-001,,,True,False,poc1_knowledge_samples.csv,PoC1,FixGuide,D-001,,Door Name不足時の修正方針と確認ポイント
Q008,Room情報が不足している場合のFix Guideを教えてください,PoC1 Fix Guide Question,1,P1-FIX-F002,PoC1,FixGuide,Room Information Fix Guide,fix|guide|room|roomname|roomnumber|101|102,36,R-101,,,True,False,poc1_knowledge_samples.csv,PoC1,FixGuide,R-101,,RoomNameとRoomNumber不足時の確認方針
Q008,Room情報が不足している場合のFix Guideを教えてください,PoC1 Fix Guide Question,2,P1-RULE-D003,PoC1,RuleMaster,Door Room Relation Missing Rule,fix|guide|room|roomname|roomnumber,30,D-003,,,True,True,poc1_knowledge_samples.csv,PoC1,FixGuide,R-101,,RoomNameとRoomNumber不足時の確認方針
Q008,Room情報が不足している場合のFix Guideを教えてください,PoC1 Fix Guide Question,3,P2-USECASE-UC005,PoC2,UseCaseMapping,Room Information Review Use Case,fix|guide|room|roomname|roomnumber,26,,UC-005,RAG Support + Human Review,True,True,poc2_knowledge_samples.csv,PoC1,FixGuide,R-101,,RoomNameとRoomNumber不足時の確認方針
Q009,AI ReadinessにおいてElementIdやUniqueIdはなぜ重要ですか,PoC1 AI Readiness Question,1,P1-AIR-A001,PoC1,AIReadiness,AI Readiness Impact of Missing Identifiers,ai|readiness|elementid|uniqueid|identifier|識別子,38,,,,True,False,poc1_knowledge_samples.csv,PoC1,AIReadiness,,,識別子不足がAI活用準備度へ与える影響
Q009,AI ReadinessにおいてElementIdやUniqueIdはなぜ重要ですか,PoC1 AI Readiness Question,2,P1-META-M001,PoC1,pyRevitMetadata,pyRevit Element Metadata Export,ai|readiness|elementid|uniqueid,22,,,,True,False,poc1_knowledge_samples.csv,PoC1,AIReadiness,,,識別子不足がAI活用準備度へ与える影響
Q009,AI ReadinessにおいてElementIdやUniqueIdはなぜ重要ですか,PoC1 AI Readiness Question,3,P1-FIX-F001,PoC1,FixGuide,Door Name Missing Fix Guide,ai|readiness|elementid|uniqueid,22,D-001,,,True,False,poc1_knowledge_samples.csv,PoC1,AIReadiness,,,識別子不足がAI活用準備度へ与える影響
Q010,AI ContextではどのBIM要素情報を使いますか,PoC1 AI Context Question,1,P1-AIC-A001,PoC1,AIContext,AI Context for BIM Elements,ai|context|category|elementid|familyname|typename|roomname,46,,,,False,False,poc1_knowledge_samples.csv,PoC1,AIContext,,,BIM要素をAI向け文脈情報にするための項目
Q010,AI ContextではどのBIM要素情報を使いますか,PoC1 AI Context Question,2,P1-META-M001,PoC1,pyRevitMetadata,pyRevit Element Metadata Export,ai|context|category|elementid|familyname|typename|roomname,41,,,,True,False,poc1_knowledge_samples.csv,PoC1,AIContext,,,BIM要素をAI向け文脈情報にするための項目
Q010,AI ContextではどのBIM要素情報を使いますか,PoC1 AI Context Question,3,P2-USECASE-UC006,PoC2,UseCaseMapping,Door Metadata Review Use Case,ai|context|elementid|familyname|typename|roomname,34,,UC-006,Rule-based Check + Human Review,True,False,poc2_knowledge_samples.csv,PoC1,AIContext,,,BIM要素をAI向け文脈情報にするための項目
Q011,pyRevit Metadata Exportでは何を出力しますか,PoC1 Metadata Question,1,P1-META-M001,PoC1,pyRevitMetadata,pyRevit Element Metadata Export,pyrevit|metadata|elementid|uniqueid|category|csv,48,,,,True,False,poc1_knowledge_samples.csv,PoC1,pyRevitMetadata,,,pyRevitで出力するmetadata項目
Q011,pyRevit Metadata Exportでは何を出力しますか,PoC1 Metadata Question,2,P2-USECASE-UC006,PoC2,UseCaseMapping,Door Metadata Review Use Case,pyrevit|metadata|elementid|uniqueid|csv,30,,UC-006,Rule-based Check + Human Review,True,False,poc2_knowledge_samples.csv,PoC1,pyRevitMetadata,,,pyRevitで出力するmetadata項目
Q011,pyRevit Metadata Exportでは何を出力しますか,PoC1 Metadata Question,3,P1-AIC-A001,PoC1,AIContext,AI Context for BIM Elements,elementid|uniqueid|category|csv,27,,,,False,False,poc1_knowledge_samples.csv,PoC1,pyRevitMetadata,,,pyRevitで出力するmetadata項目
Q012,BIM品質チェックの結果はAIが自動修正してよいですか,PoC1 Human Review Question,1,P1-POL-H001,PoC1,HumanReviewPolicy,Human Review Required for BIM Quality Decisions,human|review|自動修正|bim|quality|最終判断,21,,,,True,False,poc1_knowledge_samples.csv,PoC1,HumanReviewPolicy,,,BIM品質判断と自動修正しない方針
Q012,BIM品質チェックの結果はAIが自動修正してよいですか,PoC1 Human Review Question,2,P2-USECASE-UC001,PoC2,UseCaseMapping,BIM Issue Report Review Use Case,human|review|bim,19,,UC-001,RAG Support + Human Review,True,False,poc2_knowledge_samples.csv,PoC1,HumanReviewPolicy,,,BIM品質判断と自動修正しない方針
Q012,BIM品質チェックの結果はAIが自動修正してよいですか,PoC1 Human Review Question,3,P1-RULE-D001,PoC1,RuleMaster,Door Name Missing Rule,human|review|bim|quality,15,D-001,,,True,False,poc1_knowledge_samples.csv,PoC1,HumanReviewPolicy,,,BIM品質判断と自動修正しない方針
Q013,BIMの指摘対応はRAGに向いていますか,PoC2 UseCase Question,1,P2-USECASE-UC001,PoC2,UseCaseMapping,BIM Issue Report Review Use Case,bim|issue|rag|uc|001|human|review,41,,UC-001,RAG Support + Human Review,True,False,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-001,BIM指摘対応におけるRAG SupportとHuman Review
Q013,BIMの指摘対応はRAGに向いていますか,PoC2 UseCase Question,2,P2-USECASE-UC005,PoC2,UseCaseMapping,Room Information Review Use Case,bim|rag|uc|human|review,20,,UC-005,RAG Support + Human Review,True,True,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-001,BIM指摘対応におけるRAG SupportとHuman Review
Q013,BIMの指摘対応はRAGに向いていますか,PoC2 UseCase Question,3,P2-USECASE-UC015,PoC2,UseCaseMapping,Construction AI Discussion Report Generation,bim|rag|uc|human|review,18,,UC-015,Report Generation + Human Review,True,False,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-001,BIM指摘対応におけるRAG SupportとHuman Review
Q014,BIMデータ品質確認はどのAI活用に向いていますか,PoC2 UseCase Question,1,P2-USECASE-UC002,PoC2,UseCaseMapping,BIM Data Quality Review Use Case,bim|data|quality|rule|based|check|bi|uc|002,25,,UC-002,Rule-based Check + Human Review,True,False,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-002,BIM品質確認のRule-based CheckとBI適性
Q014,BIMデータ品質確認はどのAI活用に向いていますか,PoC2 UseCase Question,2,P2-USECASE-UC006,PoC2,UseCaseMapping,Door Metadata Review Use Case,bim|data|rule|based|check|bi|uc,19,,UC-006,Rule-based Check + Human Review,True,False,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-002,BIM品質確認のRule-based CheckとBI適性
Q014,BIMデータ品質確認はどのAI活用に向いていますか,PoC2 UseCase Question,3,P2-USECASE-UC005,PoC2,UseCaseMapping,Room Information Review Use Case,bim|data|rule|bi|uc,18,,UC-005,RAG Support + Human Review,True,True,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-002,BIM品質確認のRule-based CheckとBI適性
Q015,AI Readiness Assessment はBIに向いていますか,PoC2 UseCase Question,1,P2-USECASE-UC003,PoC2,UseCaseMapping,AI Readiness Assessment Use Case,ai|readiness|assessment|bi|score|uc|003,31,,UC-003,BI + Human Review,True,False,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-003,AI Readiness評価のBI適性とHuman Review
Q015,AI Readiness Assessment はBIに向いていますか,PoC2 UseCase Question,2,P2-USECASE-UC009,PoC2,UseCaseMapping,BI Dashboard Suitable Use Case Identification,ai|bi|score|uc,22,,UC-009,BI / Dashboard,False,False,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-003,AI Readiness評価のBI適性とHuman Review
Q015,AI Readiness Assessment はBIに向いていますか,PoC2 UseCase Question,3,P2-USECASE-UC015,PoC2,UseCaseMapping,Construction AI Discussion Report Generation,ai|bi|uc,14,,UC-015,Report Generation + Human Review,True,False,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-003,AI Readiness評価のBI適性とHuman Review
Q016,Fix Guide検索はRAG-style検索に向いていますか,PoC2 UseCase Question,1,P2-USECASE-UC004,PoC2,UseCaseMapping,Fix Guide Search Use Case,fix|guide|rag|ruleid|uc|004,28,,UC-004,RAG Support,False,False,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-004,Fix Guide検索のRAG適性
Q016,Fix Guide検索はRAG-style検索に向いていますか,PoC2 UseCase Question,2,P2-USECASE-UC001,PoC2,UseCaseMapping,BIM Issue Report Review Use Case,fix|guide|rag|ruleid|uc,20,,UC-001,RAG Support + Human Review,True,False,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-004,Fix Guide検索のRAG適性
Q016,Fix Guide検索はRAG-style検索に向いていますか,PoC2 UseCase Question,3,P2-USECASE-UC008,PoC2,UseCaseMapping,RAG Suitable Use Case Identification,fix|guide|rag|uc,17,,UC-008,RAG Support,False,False,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-004,Fix Guide検索のRAG適性
Q017,Room情報レビューではDeep Diveが必要ですか,PoC2 UseCase Question,1,P2-USECASE-UC005,PoC2,UseCaseMapping,Room Information Review Use Case,room|roomname|roomnumber|deep|dive|uc|005,36,,UC-005,RAG Support + Human Review,True,True,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-005,Room情報レビューにおける追加確認と人間レビュー
Q017,Room情報レビューではDeep Diveが必要ですか,PoC2 UseCase Question,2,P1-RULE-D003,PoC1,RuleMaster,Door Room Relation Missing Rule,room|roomname|roomnumber|deep|dive,30,D-003,,,True,True,poc1_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-005,Room情報レビューにおける追加確認と人間レビュー
Q017,Room情報レビューではDeep Diveが必要ですか,PoC2 UseCase Question,3,P1-FIX-F002,PoC1,FixGuide,Room Information Fix Guide,room|roomname|roomnumber,24,R-101,,,True,False,poc1_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-005,Room情報レビューにおける追加確認と人間レビュー
Q018,Door metadata review は自動化できますか,PoC2 UseCase Question,1,P2-USECASE-UC006,PoC2,UseCaseMapping,Door Metadata Review Use Case,door|metadata|review|uc|006|human,28,,UC-006,Rule-based Check + Human Review,True,False,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-006,Door metadata確認の自動化支援とHuman Review
Q018,Door metadata review は自動化できますか,PoC2 UseCase Question,2,P2-USECASE-UC015,PoC2,UseCaseMapping,Construction AI Discussion Report Generation,review|automation|uc|human,17,,UC-015,Report Generation + Human Review,True,False,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-006,Door metadata確認の自動化支援とHuman Review
Q018,Door metadata review は自動化できますか,PoC2 UseCase Question,3,P2-USECASE-UC010,PoC2,UseCaseMapping,Automation Candidate Use Case Identification,review|automation|uc|human,17,,UC-010,Automation Support + Human Review,True,True,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-006,Door metadata確認の自動化支援とHuman Review
Q019,建設業務ユースケース分類では何を分類しますか,PoC2 Workflow Question,1,P2-USECASE-UC007,PoC2,UseCaseMapping,Construction AI Use Case Classification,use|case|mapping|recommendedapproach|rag|bi|automation|uc|007,47,,UC-007,Classification Rule + Human Review,True,False,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-007,RAGやBIや自動化などの分類方針
Q019,建設業務ユースケース分類では何を分類しますか,PoC2 Workflow Question,2,P2-SUM-W001,PoC2,WorkflowSummary,PoC 2 Use Case Mapping Workflow Summary,use|case|mapping|recommendedapproach|rag|bi|automation,41,,,Workflow Summary,True,False,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-007,RAGやBIや自動化などの分類方針
Q019,建設業務ユースケース分類では何を分類しますか,PoC2 Workflow Question,3,P2-USECASE-UC015,PoC2,UseCaseMapping,Construction AI Discussion Report Generation,use|case|mapping|recommendedapproach|rag|bi|automation|uc,37,,UC-015,Report Generation + Human Review,True,False,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-007,RAGやBIや自動化などの分類方針
Q020,RAGに向いている業務はどのように判定しますか,PoC2 Classification Rule Question,1,P2-RULE-CR001,PoC2,ClassificationRule,RAG Support Classification Rule,rag|support|classification|rule|ナレッジ参照|faq|fix|guide,34,,,RAG Support,False,False,poc2_knowledge_samples.csv,PoC2,ClassificationRule,,,RAG Support分類ルールの確認
Q020,RAGに向いている業務はどのように判定しますか,PoC2 Classification Rule Question,2,P2-USECASE-UC008,PoC2,UseCaseMapping,RAG Suitable Use Case Identification,rag|support|ナレッジ参照|faq|fix|guide,26,,UC-008,RAG Support,False,False,poc2_knowledge_samples.csv,PoC2,ClassificationRule,,,RAG Support分類ルールの確認
Q020,RAGに向いている業務はどのように判定しますか,PoC2 Classification Rule Question,3,P2-USECASE-UC004,PoC2,UseCaseMapping,Fix Guide Search Use Case,rag|support|rule|fix|guide,18,,UC-004,RAG Support,False,False,poc2_knowledge_samples.csv,PoC2,ClassificationRule,,,RAG Support分類ルールの確認
Q021,BIやDashboardに向いている業務はどのように判定しますか,PoC2 Classification Rule Question,1,P2-RULE-CR002,PoC2,ClassificationRule,BI Dashboard Classification Rule,bi|dashboard|kpi|集計|classification|rule,38,,,BI / Dashboard,False,False,poc2_knowledge_samples.csv,PoC2,ClassificationRule,,,BI Dashboard分類ルールの確認
Q021,BIやDashboardに向いている業務はどのように判定しますか,PoC2 Classification Rule Question,2,P2-USECASE-UC009,PoC2,UseCaseMapping,BI Dashboard Suitable Use Case Identification,bi|dashboard|kpi|集計,32,,UC-009,BI / Dashboard,False,False,poc2_knowledge_samples.csv,PoC2,ClassificationRule,,,BI Dashboard分類ルールの確認
Q021,BIやDashboardに向いている業務はどのように判定しますか,PoC2 Classification Rule Question,3,P2-USECASE-UC007,PoC2,UseCaseMapping,Construction AI Use Case Classification,bi|classification|rule,14,,UC-007,Classification Rule + Human Review,True,False,poc2_knowledge_samples.csv,PoC2,ClassificationRule,,,BI Dashboard分類ルールの確認
Q022,自動化候補の業務は完全自動化してよいですか,PoC2 Automation Question,1,P2-USECASE-UC010,PoC2,UseCaseMapping,Automation Candidate Use Case Identification,automation|自動化|human|review|deep|dive,28,,UC-010,Automation Support + Human Review,True,True,poc2_knowledge_samples.csv,PoC2,ClassificationRule,,,Automation SupportとHuman Reviewの境界
Q022,自動化候補の業務は完全自動化してよいですか,PoC2 Automation Question,2,P2-SUM-W001,PoC2,WorkflowSummary,PoC 2 Use Case Mapping Workflow Summary,automation|自動化|human|review|deep|dive,23,,,Workflow Summary,True,False,poc2_knowledge_samples.csv,PoC2,ClassificationRule,,,Automation SupportとHuman Reviewの境界
Q022,自動化候補の業務は完全自動化してよいですか,PoC2 Automation Question,3,P2-RULE-CR003,PoC2,ClassificationRule,Automation Support Classification Rule,automation|自動化|human|review,22,,,Automation Support + Human Review,True,True,poc2_knowledge_samples.csv,PoC2,ClassificationRule,,,Automation SupportとHuman Reviewの境界
Q023,HumanReviewRequired=Trueになる業務はどのようなものですか,PoC2 Human Review Question,1,P2-USECASE-UC012,PoC2,UseCaseMapping,Human Review Required Use Case Identification,humanreviewrequired|human|review|設計判断|施工判断|法規判断|安全判断|契約判断,47,,UC-012,Human Review,True,False,poc2_knowledge_samples.csv,PoC2,ClassificationRule,,,人間レビュー必須の判断種別
Q023,HumanReviewRequired=Trueになる業務はどのようなものですか,PoC2 Human Review Question,2,P2-RULE-CR004,PoC2,ClassificationRule,Human Review Classification Rule,human|review|設計判断|施工判断|法規判断|安全判断|契約判断,46,,,Human Review,True,False,poc2_knowledge_samples.csv,PoC2,ClassificationRule,,,人間レビュー必須の判断種別
Q023,HumanReviewRequired=Trueになる業務はどのようなものですか,PoC2 Human Review Question,3,P2-USECASE-UC010,PoC2,UseCaseMapping,Automation Candidate Use Case Identification,humanreviewrequired|human|review|設計判断|施工判断|法規判断|安全判断|契約判断,22,,UC-010,Automation Support + Human Review,True,True,poc2_knowledge_samples.csv,PoC2,ClassificationRule,,,人間レビュー必須の判断種別
Q024,DeepDiveRequired=Trueの場合は何を追加確認すべきですか,PoC2 Deep Dive Question,1,P2-USECASE-UC013,PoC2,UseCaseMapping,Deep Dive Required Use Case Identification,deepdiverequired|deep|dive|追加確認|ヒアリング|判断条件|業務範囲,41,,UC-013,Deep Dive Required,True,True,poc2_knowledge_samples.csv,PoC2,ClassificationRule,,,追加確認が必要な業務の確認観点
Q024,DeepDiveRequired=Trueの場合は何を追加確認すべきですか,PoC2 Deep Dive Question,2,P2-RULE-CR005,PoC2,ClassificationRule,Deep Dive Classification Rule,deep|dive|追加確認|ヒアリング|判断条件|業務範囲,26,,,Deep Dive Required,True,True,poc2_knowledge_samples.csv,PoC2,ClassificationRule,,,追加確認が必要な業務の確認観点
Q024,DeepDiveRequired=Trueの場合は何を追加確認すべきですか,PoC2 Deep Dive Question,3,P2-USECASE-UC010,PoC2,UseCaseMapping,Automation Candidate Use Case Identification,deep|dive|判断条件,9,,UC-010,Automation Support + Human Review,True,True,poc2_knowledge_samples.csv,PoC2,ClassificationRule,,,追加確認が必要な業務の確認観点
Q025,DXサービス候補はそのまま導入判断してよいですか,PoC2 Discussion Question,1,P2-USECASE-UC014,PoC2,UseCaseMapping,DX Service Candidate Discussion Reference,dx|service|導入判断|discussion|human|review|uc|014,34,,UC-014,Discussion Reference + Human Review,True,True,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-014,DXサービス候補と人間レビューの必要性
Q025,DXサービス候補はそのまま導入判断してよいですか,PoC2 Discussion Question,2,P2-USECASE-UC015,PoC2,UseCaseMapping,Construction AI Discussion Report Generation,dx|discussion|human|review|uc,20,,UC-015,Report Generation + Human Review,True,False,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-014,DXサービス候補と人間レビューの必要性
Q025,DXサービス候補はそのまま導入判断してよいですか,PoC2 Discussion Question,3,P2-USECASE-UC001,PoC2,UseCaseMapping,BIM Issue Report Review Use Case,discussion|human|review|uc,17,,UC-001,RAG Support + Human Review,True,False,poc2_knowledge_samples.csv,PoC2,UseCaseMapping,,UC-014,DXサービス候補と人間レビューの必要性
Q026,PoC 2の成果物はPoC 3でどのように使いますか,PoC2 Workflow Question,1,P2-SUM-W001,PoC2,WorkflowSummary,PoC 2 Use Case Mapping Workflow Summary,poc|2の成果物はpoc|poc2|use|case|mapping|knowledge|workflow,27,,,Workflow Summary,True,False,poc2_knowledge_samples.csv,PoC2,WorkflowSummary,,,PoC 2成果物を検索対象ナレッジとして再利用する流れ
Q026,PoC 2の成果物はPoC 3でどのように使いますか,PoC2 Workflow Question,2,P2-USECASE-UC010,PoC2,UseCaseMapping,Automation Candidate Use Case Identification,poc|poc2|use|case|mapping|knowledge|workflow,20,,UC-010,Automation Support + Human Review,True,True,poc2_knowledge_samples.csv,PoC2,WorkflowSummary,,,PoC 2成果物を検索対象ナレッジとして再利用する流れ
Q026,PoC 2の成果物はPoC 3でどのように使いますか,PoC2 Workflow Question,3,P2-USECASE-UC007,PoC2,UseCaseMapping,Construction AI Use Case Classification,poc|poc2|use|case|mapping|knowledge,14,,UC-007,Classification Rule + Human Review,True,False,poc2_knowledge_samples.csv,PoC2,WorkflowSummary,,,PoC 2成果物を検索対象ナレッジとして再利用する流れ
Q027,PoC 1とPoC 2はどうつながりますか,Cross PoC Question,1,P2-SUM-W001,PoC2,WorkflowSummary,PoC 2 Use Case Mapping Workflow Summary,poc|poc2|workflow|ai|use|case|mapping,26,,,Workflow Summary,True,False,poc2_knowledge_samples.csv,PoC3,WorkflowSummary,,,BIMデータ品質評価と業務ユースケース分類の関係
Q027,PoC 1とPoC 2はどうつながりますか,Cross PoC Question,2,P2-USECASE-UC010,PoC2,UseCaseMapping,Automation Candidate Use Case Identification,poc|poc2|workflow|ai|use|case|mapping,22,,UC-010,Automation Support + Human Review,True,True,poc2_knowledge_samples.csv,PoC3,WorkflowSummary,,,BIMデータ品質評価と業務ユースケース分類の関係
Q027,PoC 1とPoC 2はどうつながりますか,Cross PoC Question,3,P2-USECASE-UC003,PoC2,UseCaseMapping,AI Readiness Assessment Use Case,poc|poc2|ai|readiness|use|case|mapping,17,,UC-003,BI + Human Review,True,False,poc2_knowledge_samples.csv,PoC3,WorkflowSummary,,,BIMデータ品質評価と業務ユースケース分類の関係
Q028,PoC 3は何をするPoCですか,PoC3 Overview Question,1,P1-RAG-R001,PoC1,RAGDesign,RAG Design Policy for BIM Quality Knowledge,poc|knowledge|rag|style,17,,,,False,False,poc1_knowledge_samples.csv,PoC3,WorkflowSummary,,,PoC 1とPoC 2の成果物を検索し根拠付きで説明する役割
